county_code,fips_code,county_name,precincts,eligible_voters,party_stratum,party_stratum_name,geo_stratum,geo_stratum_name,past_county_vote,size_total,Trump,Clinton,Johnson,Stein,Total
1,12001,Alachua,63,173993,2,Mod Democrat,1,North/Panhandle,128569,78153,46834,75820,4059,1507,128220
2,12003,Baker,11,15092,5,High Republican,1,North/Panhandle,12634,8444,10294,2112,169,30,12605
3,12005,Bay,44,118344,5,High Republican,1,North/Panhandle,87449,57048,62194,21797,2652,562,87205
4,12007,Bradford,14,16163,5,High Republican,1,North/Panhandle,12098,8542,8913,2924,177,47,12061
5,12009,Brevard,174,411191,4,Mod Republican,2,Orlando/Cent Atl,314744,221763,181848,119679,9451,2708,313686
6,12011,Broward,577,1141360,1,High Democrat,5,Miami/Gold Coast,831950,468892,260951,553320,11078,5094,830443
7,12013,Calhoun,15,8620,5,High Republican,1,North/Panhandle,6081,4187,4655,1241,124,25,6045
8,12015,Charlotte,67,131734,5,High Republican,4,Gulf Cst/Mid FL,96371,67115,60218,33445,1946,567,96176
9,12017,Citrus,31,106972,5,High Republican,4,Gulf Cst/Mid FL,79699,58320,54456,22789,1724,480,79449
10,12019,Clay,47,150234,5,High Republican,1,North/Panhandle,106483,68138,74963,27822,2806,571,106162
11,12021,Collier,59,206438,5,High Republican,4,Gulf Cst/Mid FL,170788,113618,105423,61085,3263,747,170518
12,12023,Columbia,22,39359,5,High Republican,1,North/Panhandle,28707,18374,20368,7601,523,150,28642
13,12086,Miami-Dade,860,1387264,1,High Democrat,5,Miami/Gold Coast,980204,521444,333999,624146,13219,5985,977349
14,12027,DeSoto,15,16550,5,High Republican,4,Gulf Cst/Mid FL,10818,7512,6778,3781,166,53,10778
15,12029,Dixie,10,9550,5,High Republican,1,North/Panhandle,7202,5360,5822,1270,77,21,7190
16,12031,Duval,199,584997,3,Middle,1,North/Panhandle,432684,270031,211672,205704,11318,2912,431606
17,12033,Escambia,79,206847,4,Mod Republican,1,North/Panhandle,152467,97949,88808,57461,4612,1055,151936
18,12035,Flagler,25,80796,4,Mod Republican,1,North/Panhandle,57503,37858,33850,22026,1114,388,57378
19,12037,Franklin,8,7563,5,High Republican,1,North/Panhandle,6015,4306,4125,1744,95,33,5997
20,12039,Gadsden,25,29858,1,High Democrat,1,North/Panhandle,22113,17594,6728,15020,229,78,22055
21,12041,Gilchrist,10,11553,5,High Republican,1,North/Panhandle,8420,5963,6740,1458,155,43,8396
22,12043,Glades,15,6710,5,High Republican,4,Gulf Cst/Mid FL,4353,3020,2996,1271,54,18,4339
23,12045,Gulf,10,9990,5,High Republican,1,North/Panhandle,7293,5169,5329,1720,195,27,7271
24,12047,Hamilton,8,7624,5,High Republican,1,North/Panhandle,5460,3718,3443,1904,79,17,5443
25,12049,Hardee,12,12087,5,High Republican,4,Gulf Cst/Mid FL,7583,5391,5242,2149,140,24,7555
26,12051,Hendry,10,17509,4,Mod Republican,4,Gulf Cst/Mid FL,11115,6696,6195,4615,207,52,11069
27,12053,Hernando,32,131049,5,High Republican,4,Gulf Cst/Mid FL,93793,63976,58970,31795,2051,710,93526
28,12055,Highlands,25,57988,5,High Republican,4,Gulf Cst/Mid FL,45686,31975,29565,14937,854,186,45542
29,12057,Hillsborough,390,826228,3,Middle,3,Tampa Bay Area,597646,371959,266870,307896,15703,5032,595501
30,12059,Holmes,8,10566,5,High Republican,1,North/Panhandle,8514,5713,7483,853,133,19,8488
31,12061,Indian River,36,110556,5,High Republican,2,Orlando/Cent Atl,80007,52502,48620,29043,1723,419,79805
32,12063,Jackson,14,27508,5,High Republican,1,North/Panhandle,21039,15103,14257,6397,266,60,20980
33,12065,Jefferson,16,9642,3,Middle,1,North/Panhandle,7645,6305,3930,3541,110,42,7623
34,12067,Lafayette,5,4299,5,High Republican,1,North/Panhandle,3392,2599,2809,518,47,10,3384
35,12069,Lake,103,228459,5,High Republican,4,Gulf Cst/Mid FL,170462,112505,102188,62838,3985,975,169986
36,12071,Lee,137,432416,4,Mod Republican,4,Gulf Cst/Mid FL,326418,210298,191551,124908,6982,2127,325568
37,12073,Leon,153,205898,2,Mod Democrat,1,North/Panhandle,152115,108128,53821,92068,4403,1366,151658
38,12075,Levy,13,27302,5,High Republican,4,Gulf Cst/Mid FL,19395,13295,13775,5101,358,102,19336
39,12077,Liberty,8,4332,5,High Republican,1,North/Panhandle,3296,2672,2543,651,76,17,3287
40,12079,Madison,11,11766,4,Mod Republican,1,North/Panhandle,8505,6358,4851,3526,95,22,8494
41,12081,Manatee,70,237890,4,Mod Republican,3,Tampa Bay Area,178954,119556,101944,71224,4177,1149,178494
42,12083,Marion,125,236784,5,High Republican,4,Gulf Cst/Mid FL,174698,119850,107833,62041,3365,972,174211
43,12085,Martin,30,112540,5,High Republican,2,Orlando/Cent Atl,85792,61220,53204,30185,1804,474,85667
44,12087,Monroe,33,52792,3,Middle,5,Miami/Gold Coast,42478,28505,21904,18971,1131,398,42404
45,12089,Nassau,15,65025,5,High Republican,1,North/Panhandle,46607,30693,34266,10869,1195,188,46518
46,12091,Okaloosa,55,132022,5,High Republican,1,North/Panhandle,100852,61162,71893,23780,4171,611,100455
47,12093,Okeechobee,11,20133,5,High Republican,4,Gulf Cst/Mid FL,13653,8894,9356,3959,234,53,13602
48,12095,Orange,247,758967,2,Mod Democrat,2,Orlando/Cent Atl,546263,307651,195216,329894,14483,4777,544370
49,12097,Osceola,95,208009,2,Mod Democrat,2,Orlando/Cent Atl,140206,68466,50301,85458,2811,1003,139573
50,12099,Palm Beach,798,910976,2,Mod Democrat,5,Miami/Gold Coast,662322,419459,272402,374673,10370,3723,661168
51,12101,Pasco,110,341640,4,Mod Republican,3,Tampa Bay Area,241131,160713,142101,90142,6129,1908,240280
52,12103,Pinellas,300,647858,3,Middle,3,Tampa Bay Area,492393,351846,239201,233701,13627,4611,491140
53,12105,Polk,167,403653,4,Mod Republican,4,Gulf Cst/Mid FL,284311,191954,157430,117433,6810,1647,283320
54,12107,Putnam,35,46753,5,High Republican,1,North/Panhandle,33117,22710,22138,10094,597,219,33048
55,12109,St. Johns,46,181146,5,High Republican,1,North/Panhandle,136513,86497,88684,43099,3612,864,136259
56,12111,St. Lucie,64,198071,3,Middle,2,Orlando/Cent Atl,140847,88996,70289,66881,2475,867,140512
57,12113,Santa Rosa,41,129051,5,High Republican,1,North/Panhandle,87744,53315,65339,18464,3123,524,87450
58,12115,Sarasota,99,311152,4,Mod Republican,4,Gulf Cst/Mid FL,229058,161455,124438,97870,4715,1596,228619
