"","date","state","cases"
"1",2020-01-22,"Alabama",0
"2",2020-01-23,"Alabama",0
"3",2020-01-24,"Alabama",0
"4",2020-01-25,"Alabama",0
"5",2020-01-26,"Alabama",0
"6",2020-01-27,"Alabama",0
"7",2020-01-28,"Alabama",0
"8",2020-01-29,"Alabama",0
"9",2020-01-30,"Alabama",0
"10",2020-01-31,"Alabama",0
"11",2020-02-01,"Alabama",0
"12",2020-02-02,"Alabama",0
"13",2020-02-03,"Alabama",0
"14",2020-02-04,"Alabama",0
"15",2020-02-05,"Alabama",0
"16",2020-02-06,"Alabama",0
"17",2020-02-07,"Alabama",0
"18",2020-02-08,"Alabama",0
"19",2020-02-09,"Alabama",0
"20",2020-02-10,"Alabama",0
"21",2020-02-11,"Alabama",0
"22",2020-02-12,"Alabama",0
"23",2020-02-13,"Alabama",0
"24",2020-02-14,"Alabama",0
"25",2020-02-15,"Alabama",0
"26",2020-02-16,"Alabama",0
"27",2020-02-17,"Alabama",0
"28",2020-02-18,"Alabama",0
"29",2020-02-19,"Alabama",0
"30",2020-02-20,"Alabama",0
"31",2020-02-21,"Alabama",0
"32",2020-02-22,"Alabama",0
"33",2020-02-23,"Alabama",0
"34",2020-02-24,"Alabama",0
"35",2020-02-25,"Alabama",0
"36",2020-02-26,"Alabama",0
"37",2020-02-27,"Alabama",0
"38",2020-02-28,"Alabama",0
"39",2020-02-29,"Alabama",0
"40",2020-03-01,"Alabama",0
"41",2020-03-02,"Alabama",0
"42",2020-03-03,"Alabama",0
"43",2020-03-04,"Alabama",0
"44",2020-03-05,"Alabama",0
"45",2020-03-06,"Alabama",0
"46",2020-03-07,"Alabama",0
"47",2020-03-08,"Alabama",0
"48",2020-03-09,"Alabama",0
"49",2020-03-10,"Alabama",0
"50",2020-03-11,"Alabama",3
"51",2020-03-12,"Alabama",4
"52",2020-03-13,"Alabama",8
"53",2020-03-14,"Alabama",15
"54",2020-03-15,"Alabama",28
"55",2020-03-16,"Alabama",36
"56",2020-03-17,"Alabama",51
"57",2020-03-18,"Alabama",61
"58",2020-03-19,"Alabama",88
"59",2020-03-20,"Alabama",115
"60",2020-03-21,"Alabama",149
"61",2020-03-22,"Alabama",180
"62",2020-03-23,"Alabama",224
"63",2020-03-24,"Alabama",298
"64",2020-03-25,"Alabama",472
"65",2020-03-26,"Alabama",574
"66",2020-03-27,"Alabama",684
"67",2020-03-28,"Alabama",801
"68",2020-03-29,"Alabama",880
"69",2020-03-30,"Alabama",1001
"70",2020-03-31,"Alabama",1063
"71",2020-04-01,"Alabama",1175
"72",2020-04-02,"Alabama",1371
"73",2020-04-03,"Alabama",1606
"74",2020-04-04,"Alabama",1727
"75",2020-04-05,"Alabama",1905
"76",2020-04-06,"Alabama",2079
"77",2020-04-07,"Alabama",2308
"78",2020-04-08,"Alabama",2614
"79",2020-04-09,"Alabama",2954
"80",2020-04-10,"Alabama",3112
"81",2020-04-11,"Alabama",3346
"82",2020-04-12,"Alabama",3667
"83",2020-04-13,"Alabama",3870
"84",2020-04-14,"Alabama",4041
"85",2020-04-15,"Alabama",4307
"86",2020-04-16,"Alabama",4465
"87",2020-04-17,"Alabama",4557
"88",2020-04-18,"Alabama",4788
"89",2020-04-19,"Alabama",4978
"90",2020-04-20,"Alabama",5163
"91",2020-04-21,"Alabama",5404
"92",2020-04-22,"Alabama",5692
"93",2020-04-23,"Alabama",5899
"94",2020-04-24,"Alabama",6092
"95",2020-04-25,"Alabama",6274
"96",2020-04-26,"Alabama",6475
"97",2020-04-27,"Alabama",6621
"98",2020-04-28,"Alabama",6820
"99",2020-04-29,"Alabama",6979
"100",2020-04-30,"Alabama",7187
"101",2020-05-01,"Alabama",7440
"102",2020-05-02,"Alabama",7700
"103",2020-05-03,"Alabama",7977
"104",2020-05-04,"Alabama",8203
"105",2020-05-05,"Alabama",8520
"106",2020-05-06,"Alabama",8769
"107",2020-05-07,"Alabama",9115
"108",2020-05-08,"Alabama",9437
"109",2020-05-09,"Alabama",9720
"110",2020-05-10,"Alabama",9982
"111",2020-05-11,"Alabama",10262
"112",2020-05-12,"Alabama",10566
"113",2020-05-13,"Alabama",10822
"114",2020-05-14,"Alabama",11161
"115",2020-05-15,"Alabama",11494
"116",2020-05-16,"Alabama",11828
"117",2020-05-17,"Alabama",12137
"118",2020-05-18,"Alabama",12438
